County,File
Alameda,https://hfhcadevorg1--c.na78.content.force.com/file-asset/Alamedapng
Butte,https://hfhcadevorg1--c.na78.content.force.com/file-asset/Butepng
Contra Costa,https://hfhcadevorg1--c.na78.content.force.com/file-asset/ContraCostapng
Fresno,https://hfhcadevorg1--c.na78.content.force.com/file-asset/Fresnogif
Kings,https://hfhcadevorg1--c.na78.content.force.com/file-asset/Kingspng
Marin,https://hfhcadevorg1--c.na78.content.force.com/file-asset/Maringif
Los Angeles,https://hfhcadevorg1--c.na78.content.force.com/file-asset/LosAngelespng
Nevada,https://hfhcadevorg1--c.na78.content.force.com/file-asset/Nevadajpg
Orange,https://hfhcadevorg1--c.na78.content.force.com/file-asset/Orangepng
Riverside,https://hfhcadevorg1--c.na78.content.force.com/file-asset/Riversidejpeg
Sacramento,https://hfhcadevorg1--c.na78.content.force.com/file-asset/Sacramentogif
San Diego,https://hfhcadevorg1--c.na78.content.force.com/file-asset/SanDiegopng
San Francisco,https://hfhcadevorg1--c.na78.content.force.com/file-asset/SanFranciscopng
San Luis Obispo,https://hfhcadevorg1--c.na78.content.force.com/file-asset/SanLuisObispopng
San Mateo,https://hfhcadevorg1--c.na78.content.force.com/file-asset/SanMateopng
Santa Barbara,https://hfhcadevorg1--c.na78.content.force.com/file-asset/SantaBarbarapng
Santa Clara,https://hfhcadevorg1--c.na78.content.force.com/file-asset/SantaClarapng
Solano,https://hfhcadevorg1--c.na78.content.force.com/file-asset/Solanogif
Stanislaus,https://hfhcadevorg1--c.na78.content.force.com/file-asset/Stanislausjpg
Tulare,https://hfhcadevorg1--c.na78.content.force.com/file-asset/Tularepng
Ventura,https://hfhcadevorg1--c.na78.content.force.com/file-asset/Venturagif
Yolo,https://hfhcadevorg1--c.na78.content.force.com/file-asset/Yolopng