State,Urban/ Nonurban,Region,County,Population,Group,% of Group
California,Urban,Bay Area,Alameda,1584983,Latino,40.6
California,Urban,Bay Area,Alameda,1584983,Black,31.3
California,Urban,Bay Area,Alameda,1584983,Native American,39
California,Urban,Bay Area,Alameda,1584983,Asian,59.9
California,Urban,Bay Area,Alameda,1584983,Pacific Islander,45.4
California,Urban,Bay Area,Alameda,1584983,Other,37
California,Urban,Bay Area,Alameda,1584983,Two or More,41.2
California,Urban,Bay Area,Alameda,1584983,White,61.8
California,Urban,Bay Area,Alameda,1584983,Total,52.9
California,Non-Urban,Northern/Sierra,Alpine,1202,Latino,60
California,Non-Urban,Northern/Sierra,Alpine,1202,Black,0
California,Non-Urban,Northern/Sierra,Alpine,1202,Native American,68.6
California,Non-Urban,Northern/Sierra,Alpine,1202,Asian,100
California,Non-Urban,Northern/Sierra,Alpine,1202,Pacific Islander,100
California,Non-Urban,Northern/Sierra,Alpine,1202,Other,0
California,Non-Urban,Northern/Sierra,Alpine,1202,Two or More,87.5
California,Non-Urban,Northern/Sierra,Alpine,1202,White,82.9
California,Non-Urban,Northern/Sierra,Alpine,1202,Total,81.7
California,Non-Urban,Northern/Sierra,Amador,37159,Latino,72.7
California,Non-Urban,Northern/Sierra,Amador,37159,Black,43.8
California,Non-Urban,Northern/Sierra,Amador,37159,Native American,73
California,Non-Urban,Northern/Sierra,Amador,37159,Asian,84.7
California,Non-Urban,Northern/Sierra,Amador,37159,Pacific Islander,0
California,Non-Urban,Northern/Sierra,Amador,37159,Other,82.2
California,Non-Urban,Northern/Sierra,Amador,37159,Two or More,65.4
California,Non-Urban,Northern/Sierra,Amador,37159,White,76.3
California,Non-Urban,Northern/Sierra,Amador,37159,Total,75.7
California,Semi-Urban,Northern/Sierra,Butte,221578,Latino,44.5
California,Semi-Urban,Northern/Sierra,Butte,221579,Black,19.5
California,Semi-Urban,Northern/Sierra,Butte,221580,Native American,46.8
California,Semi-Urban,Northern/Sierra,Butte,221581,Asian,46.4
California,Semi-Urban,Northern/Sierra,Butte,221582,Pacific Islander,11.4
California,Semi-Urban,Northern/Sierra,Butte,221583,Other,44.9
California,Semi-Urban,Northern/Sierra,Butte,221584,Two or More,42.6
California,Semi-Urban,Northern/Sierra,Butte,221585,White,63.1
California,Semi-Urban,Northern/Sierra,Butte,221586,Total,59.4
California,Non-Urban,Northern/Sierra,Calaveras,44921,Latino,68.8
California,Non-Urban,Northern/Sierra,Calaveras,44921,Black,100
California,Non-Urban,Northern/Sierra,Calaveras,44921,Native American,66.4
California,Non-Urban,Northern/Sierra,Calaveras,44921,Asian,82.5
California,Non-Urban,Northern/Sierra,Calaveras,44921,Pacific Islander,26.4
California,Non-Urban,Northern/Sierra,Calaveras,44921,Other,83
California,Non-Urban,Northern/Sierra,Calaveras,44921,Two or More,61
California,Non-Urban,Northern/Sierra,Calaveras,44921,White,80.3
California,Non-Urban,Northern/Sierra,Calaveras,44921,Total,79
California,Non-Urban,Northern/Sierra,Colusa,21424,Latino,48.7
California,Non-Urban,Northern/Sierra,Colusa,21424,Black,42.5
California,Non-Urban,Northern/Sierra,Colusa,21424,Native American,50.5
California,Non-Urban,Northern/Sierra,Colusa,21424,Asian,58.3
California,Non-Urban,Northern/Sierra,Colusa,21424,Pacific Islander,15.8
California,Non-Urban,Northern/Sierra,Colusa,21424,Other,44.9
California,Non-Urban,Northern/Sierra,Colusa,21424,Two or More,76.9
California,Non-Urban,Northern/Sierra,Colusa,21424,White,76
California,Non-Urban,Northern/Sierra,Colusa,21424,Total,63.6
California,Urban,Bay Area,Contra Costa,1081232,Latino,48.8
California,Urban,Bay Area,Contra Costa,1081233,Black,41.4
California,Urban,Bay Area,Contra Costa,1081234,Native American,49.9
California,Urban,Bay Area,Contra Costa,1081235,Asian,71.7
California,Urban,Bay Area,Contra Costa,1081236,Pacific Islander,47.4
California,Urban,Bay Area,Contra Costa,1081237,Other,47.2
California,Urban,Bay Area,Contra Costa,1081238,Two or More,52.7
California,Urban,Bay Area,Contra Costa,1081239,White,73.2
California,Urban,Bay Area,Contra Costa,1081240,Total,65
California,Non-Urban,Northern/Sierra,Del Norte,28066,Latino,38.2
California,Non-Urban,Northern/Sierra,Del Norte,28066,Black,59.1
California,Non-Urban,Northern/Sierra,Del Norte,28066,Native American,51.1
California,Non-Urban,Northern/Sierra,Del Norte,28066,Asian,36
California,Non-Urban,Northern/Sierra,Del Norte,28066,Pacific Islander,53.8
California,Non-Urban,Northern/Sierra,Del Norte,28066,Other,87.1
California,Non-Urban,Northern/Sierra,Del Norte,28066,Two or More,27.9
California,Non-Urban,Northern/Sierra,Del Norte,28066,White,64.2
California,Non-Urban,Northern/Sierra,Del Norte,28066,Total,59.6
California,Non-Urban,Sacramento,El Dorado,181465,Latino,44.6
California,Non-Urban,Sacramento,El Dorado,181465,Black,74.9
California,Non-Urban,Sacramento,El Dorado,181465,Native American,54.9
California,Non-Urban,Sacramento,El Dorado,181465,Asian,78.1
California,Non-Urban,Sacramento,El Dorado,181465,Pacific Islander,43.2
California,Non-Urban,Sacramento,El Dorado,181465,Other,25.4
California,Non-Urban,Sacramento,El Dorado,181465,Two or More,67.1
California,Non-Urban,Sacramento,El Dorado,181465,White,77.3
California,Non-Urban,Sacramento,El Dorado,181465,Total,74.1
California,Semi-Urban,Central Valley,Fresno,948844,Latino,42.6
California,Semi-Urban,Central Valley,Fresno,948845,Black,27.1
California,Semi-Urban,Central Valley,Fresno,948846,Native American,33.5
California,Semi-Urban,Central Valley,Fresno,948847,Asian,53.3
California,Semi-Urban,Central Valley,Fresno,948848,Pacific Islander,41.9
California,Semi-Urban,Central Valley,Fresno,948849,Other,38.2
California,Semi-Urban,Central Valley,Fresno,948850,Two or More,52.1
California,Semi-Urban,Central Valley,Fresno,948851,White,67
California,Semi-Urban,Central Valley,Fresno,948852,Total,53.1
California,Non-Urban,Northern/Sierra,Glenn,28019,Latino,54.4
California,Non-Urban,Northern/Sierra,Glenn,28019,Black,30
California,Non-Urban,Northern/Sierra,Glenn,28019,Native American,32.5
California,Non-Urban,Northern/Sierra,Glenn,28019,Asian,52.8
California,Non-Urban,Northern/Sierra,Glenn,28019,Pacific Islander,64.3
California,Non-Urban,Northern/Sierra,Glenn,28019,Other,37.6
California,Non-Urban,Northern/Sierra,Glenn,28019,Two or More,35.4
California,Non-Urban,Northern/Sierra,Glenn,28019,White,66.7
California,Non-Urban,Northern/Sierra,Glenn,28019,Total,61.6
California,Non-Urban,Northern/Sierra,Humboldt,134876,Latino,29.4
California,Non-Urban,Northern/Sierra,Humboldt,134876,Black,34.9
California,Non-Urban,Northern/Sierra,Humboldt,134876,Native American,45.9
California,Non-Urban,Northern/Sierra,Humboldt,134876,Asian,38.1
California,Non-Urban,Northern/Sierra,Humboldt,134876,Pacific Islander,23.5
California,Non-Urban,Northern/Sierra,Humboldt,134876,Other,22.6
California,Non-Urban,Northern/Sierra,Humboldt,134876,Two or More,48.6
California,Non-Urban,Northern/Sierra,Humboldt,134876,White,57.8
California,Non-Urban,Northern/Sierra,Humboldt,134876,Total,54.8
California,Semi-Urban,Southern California,Imperial,177026,Latino,51.7
California,Semi-Urban,Southern California,Imperial,177026,Black,51.4
California,Semi-Urban,Southern California,Imperial,177026,Native American,41.6
California,Semi-Urban,Southern California,Imperial,177026,Asian,59.9
California,Semi-Urban,Southern California,Imperial,177026,Pacific Islander,0
California,Semi-Urban,Southern California,Imperial,177026,Other,51.4
California,Semi-Urban,Southern California,Imperial,177026,Two or More,45.9
California,Semi-Urban,Southern California,Imperial,177026,White,71.9
California,Semi-Urban,Southern California,Imperial,177026,Total,55.7
California,Non-Urban,Northern/Sierra,Inyo,18439,Latino,47.1
California,Non-Urban,Northern/Sierra,Inyo,18439,Black,40.6
California,Non-Urban,Northern/Sierra,Inyo,18439,Native American,57.7
California,Non-Urban,Northern/Sierra,Inyo,18439,Asian,35.9
California,Non-Urban,Northern/Sierra,Inyo,18439,Pacific Islander,90.9
California,Non-Urban,Northern/Sierra,Inyo,18439,Other,69.2
California,Non-Urban,Northern/Sierra,Inyo,18439,Two or More,61.5
California,Non-Urban,Northern/Sierra,Inyo,18439,White,67.6
California,Non-Urban,Northern/Sierra,Inyo,18439,Total,63.5
California,Semi-Urban,Central Valley,Kern,857730,Latino,49.2
California,Semi-Urban,Central Valley,Kern,857730,Black,30
California,Semi-Urban,Central Valley,Kern,857730,Native American,55.5
California,Semi-Urban,Central Valley,Kern,857730,Asian,64.9
California,Semi-Urban,Central Valley,Kern,857730,Pacific Islander,35.1
California,Semi-Urban,Central Valley,Kern,857730,Other,51
California,Semi-Urban,Central Valley,Kern,857730,Two or More,52.8
California,Semi-Urban,Central Valley,Kern,857730,White,66.4
California,Semi-Urban,Central Valley,Kern,857730,Total,57.2
California,Semi-Urban,Central Valley,Kings,151390,Latino,44.2
California,Semi-Urban,Central Valley,Kings,151391,Black,33.3
California,Semi-Urban,Central Valley,Kings,151392,Native American,32.5
California,Semi-Urban,Central Valley,Kings,151393,Asian,52.1
California,Semi-Urban,Central Valley,Kings,151394,Pacific Islander,34.1
California,Semi-Urban,Central Valley,Kings,151395,Other,46.5
California,Semi-Urban,Central Valley,Kings,151396,Two or More,42.4
California,Semi-Urban,Central Valley,Kings,151397,White,62.1
California,Semi-Urban,Central Valley,Kings,151398,Total,52
California,Non-Urban,Northern/Sierra,Lake,64209,Latino,49.7
California,Non-Urban,Northern/Sierra,Lake,64209,Black,36.6
California,Non-Urban,Northern/Sierra,Lake,64209,Native American,51.6
California,Non-Urban,Northern/Sierra,Lake,64209,Asian,45.4
California,Non-Urban,Northern/Sierra,Lake,64209,Pacific Islander,51.1
California,Non-Urban,Northern/Sierra,Lake,64209,Other,45.2
California,Non-Urban,Northern/Sierra,Lake,64209,Two or More,44.5
California,Non-Urban,Northern/Sierra,Lake,64209,White,66.3
California,Non-Urban,Northern/Sierra,Lake,64209,Total,62.7
California,Non-Urban,Northern/Sierra,Lassen,33356,Latino,54.2
California,Non-Urban,Northern/Sierra,Lassen,33356,Black,24.8
California,Non-Urban,Northern/Sierra,Lassen,33356,Native American,69
California,Non-Urban,Northern/Sierra,Lassen,33356,Asian,17.1
California,Non-Urban,Northern/Sierra,Lassen,33356,Pacific Islander,40.4
California,Non-Urban,Northern/Sierra,Lassen,33356,Other,37.8
California,Non-Urban,Northern/Sierra,Lassen,33356,Two or More,70.1
California,Non-Urban,Northern/Sierra,Lassen,33356,White,65.4
California,Non-Urban,Northern/Sierra,Lassen,33356,Total,63.6
California,Urban,Southern California,Los Angeles,9974203,Latino,38.4
California,Urban,Southern California,Los Angeles,9974204,Black,34.8
California,Urban,Southern California,Los Angeles,9974205,Native American,41.1
California,Urban,Southern California,Los Angeles,9974206,Asian,51.7
California,Urban,Southern California,Los Angeles,9974207,Pacific Islander,31.7
California,Urban,Southern California,Los Angeles,9974208,Other,32.6
California,Urban,Southern California,Los Angeles,9974209,Two or More,39.9
California,Urban,Southern California,Los Angeles,9974210,White,55.8
California,Urban,Southern California,Los Angeles,9974211,Total,46.4
California,Semi-Urban,Central Valley,Madera,152452,Latino,48.1
California,Semi-Urban,Central Valley,Madera,152452,Black,39.1
California,Semi-Urban,Central Valley,Madera,152452,Native American,56.4
California,Semi-Urban,Central Valley,Madera,152452,Asian,68.8
California,Semi-Urban,Central Valley,Madera,152452,Pacific Islander,0
California,Semi-Urban,Central Valley,Madera,152452,Other,62.5
California,Semi-Urban,Central Valley,Madera,152452,Two or More,50.8
California,Semi-Urban,Central Valley,Madera,152452,White,72.3
California,Semi-Urban,Central Valley,Madera,152452,Total,60.7
California,Semi-Urban,Bay Area,Marin,256802,Latino,26.4
California,Semi-Urban,Bay Area,Marin,256803,Black,27.7
California,Semi-Urban,Bay Area,Marin,256804,Native American,8.5
California,Semi-Urban,Bay Area,Marin,256805,Asian,59.8
California,Semi-Urban,Bay Area,Marin,256806,Pacific Islander,35.2
California,Semi-Urban,Bay Area,Marin,256807,Other,13.5
California,Semi-Urban,Bay Area,Marin,256808,Two or More,50.3
California,Semi-Urban,Bay Area,Marin,256809,White,68.3
California,Semi-Urban,Bay Area,Marin,256810,Total,62.6
California,Non-Urban,Northern/Sierra,Mariposa,17946,Latino,52.5
California,Non-Urban,Northern/Sierra,Mariposa,17946,Black,57.7
California,Non-Urban,Northern/Sierra,Mariposa,17946,Native American,52.2
California,Non-Urban,Northern/Sierra,Mariposa,17946,Asian,65.5
California,Non-Urban,Northern/Sierra,Mariposa,17946,Pacific Islander,0
California,Non-Urban,Northern/Sierra,Mariposa,17946,Other,34.4
California,Non-Urban,Northern/Sierra,Mariposa,17946,Two or More,67.5
California,Non-Urban,Northern/Sierra,Mariposa,17946,White,75.2
California,Non-Urban,Northern/Sierra,Mariposa,17946,Total,72.8
California,Non-Urban,Northern/Sierra,Mendocino,87612,Latino,38.5
California,Non-Urban,Northern/Sierra,Mendocino,87612,Black,21
California,Non-Urban,Northern/Sierra,Mendocino,87612,Native American,45.4
California,Non-Urban,Northern/Sierra,Mendocino,87612,Asian,48.4
California,Non-Urban,Northern/Sierra,Mendocino,87612,Pacific Islander,23.9
California,Non-Urban,Northern/Sierra,Mendocino,87612,Other,43.4
California,Non-Urban,Northern/Sierra,Mendocino,87612,Two or More,38.3
California,Non-Urban,Northern/Sierra,Mendocino,87612,White,61.4
California,Non-Urban,Northern/Sierra,Mendocino,87612,Total,56.8
California,Semi-Urban,Central Valley,Merced,261609,Latino,44.1
California,Semi-Urban,Central Valley,Merced,261610,Black,35.1
California,Semi-Urban,Central Valley,Merced,261611,Native American,45.6
California,Semi-Urban,Central Valley,Merced,261612,Asian,56.3
California,Semi-Urban,Central Valley,Merced,261613,Pacific Islander,29.3
California,Semi-Urban,Central Valley,Merced,261614,Other,41.9
California,Semi-Urban,Central Valley,Merced,261615,Two or More,52.2
California,Semi-Urban,Central Valley,Merced,261616,White,63.9
California,Semi-Urban,Central Valley,Merced,261617,Total,52.7
California,Non-Urban,Northern/Sierra,Modoc,9335,Latino,44.2
California,Non-Urban,Northern/Sierra,Modoc,9336,Black,100
California,Non-Urban,Northern/Sierra,Modoc,9337,Native American,47.7
California,Non-Urban,Northern/Sierra,Modoc,9338,Asian,100
California,Non-Urban,Northern/Sierra,Modoc,9339,Pacific Islander,15
California,Non-Urban,Northern/Sierra,Modoc,9340,Other,100
California,Non-Urban,Northern/Sierra,Modoc,9341,Two or More,78.6
California,Non-Urban,Northern/Sierra,Modoc,9342,White,75.2
California,Non-Urban,Northern/Sierra,Modoc,9343,Total,72.4
California,Non-Urban,Northern/Sierra,Mono,14193,Latino,17.2
California,Non-Urban,Northern/Sierra,Mono,14194,Black,0
California,Non-Urban,Northern/Sierra,Mono,14195,Native American,34.6
California,Non-Urban,Northern/Sierra,Mono,14196,Asian,94.2
California,Non-Urban,Northern/Sierra,Mono,14197,Pacific Islander,0
California,Non-Urban,Northern/Sierra,Mono,14198,Other,7.7
California,Non-Urban,Northern/Sierra,Mono,14199,Two or More,100
California,Non-Urban,Northern/Sierra,Mono,14200,White,62.5
California,Non-Urban,Northern/Sierra,Mono,14201,Total,55.3
California,Semi-Urban,Central Coast,Monterey,424927,Latino,38
California,Semi-Urban,Central Coast,Monterey,424928,Black,38.2
California,Semi-Urban,Central Coast,Monterey,424929,Native American,46.9
California,Semi-Urban,Central Coast,Monterey,424930,Asian,55.5
California,Semi-Urban,Central Coast,Monterey,424931,Pacific Islander,63.9
California,Semi-Urban,Central Coast,Monterey,424932,Other,42.9
California,Semi-Urban,Central Coast,Monterey,424933,Two or More,44.9
California,Semi-Urban,Central Coast,Monterey,424934,White,60.3
California,Semi-Urban,Central Coast,Monterey,424935,Total,49.6
California,Non-Urban,Northern/Sierra,Nevada,98606,Latino,50.2
California,Non-Urban,Northern/Sierra,Nevada,98607,Black,39.6
California,Non-Urban,Northern/Sierra,Nevada,98608,Native American,68.1
California,Non-Urban,Northern/Sierra,Nevada,98609,Asian,69.3
California,Non-Urban,Northern/Sierra,Nevada,98610,Pacific Islander,52.7
California,Non-Urban,Northern/Sierra,Nevada,98611,Other,25.2
California,Non-Urban,Northern/Sierra,Nevada,98612,Two or More,62.3
California,Non-Urban,Northern/Sierra,Nevada,98613,White,74.2
California,Non-Urban,Northern/Sierra,Nevada,98614,Total,72.5
California,Urban,Southern California,Orange,3086331,Latino,39.7
California,Urban,Southern California,Orange,3086332,Black,34.6
California,Urban,Southern California,Orange,3086333,Native American,47.7
California,Urban,Southern California,Orange,3086334,Asian,59.7
California,Urban,Southern California,Orange,3086335,Pacific Islander,41.2
California,Urban,Southern California,Orange,3086336,Other,33
California,Urban,Southern California,Orange,3086337,Two or More,50.7
California,Urban,Southern California,Orange,3086338,White,66.7
